fips,Year,DrugDeaths,DrugDeathRate,Is_Suppressed,UnemploymentRate,PovertyRate,MedianIncome,RepublicanMargin,SuicideDeaths,SuicideRate,Population
01085,2019,0.0,,False,6.1,26.6,33930.0,-46.858168761220824,,,10079.0
01085,2020,0.0,,True,14.3,21.9,37499.0,-45.8814923189466,0.0,,9936.0
01085,2021,0.0,,False,8.7,28.3,36993.0,-45.8814923189466,,,10334.0
01085,2022,0.0,,True,5.1,29.4,42268.0,-45.8814923189466,,,10153.0
01085,2023,0.0,,True,4.6,29.4,42011.0,-45.8814923189466,0.0,,10153.0
01087,2018,0.0,,True,5.4,30.2,32495.0,-67.12253829321664,,,19054.0
01087,2019,0.0,,True,4.5,29.3,34281.0,-67.12253829321664,,,18708.0
01087,2020,0.0,,True,10.3,27.9,37736.0,-63.81978677060645,,,18437.0
01087,2021,0.0,,True,5.8,27.5,35354.0,-63.81978677060645,0.0,,19490.0
01087,2022,0.0,,True,3.7,32.4,36601.0,-63.81978677060645,,,19198.0
01087,2023,0.0,,True,3.2,28.8,40710.0,-63.81978677060645,,,19198.0
01089,2018,42.0,11.459160371,False,3.5,11.9,63755.0,16.340145297419042,61.0,16.643066253,357560.0
01089,2019,77.0,20.648469198,False,2.7,11.5,68609.0,16.340145297419042,69.0,18.503173696,362276.0
01089,2020,105.0,27.671411216,False,5.1,10.5,67810.0,7.955146405705285,54.0,14.231011482,367686.0
01089,2021,130.0,32.893821275,False,2.6,10.2,78386.0,7.955146405705285,59.0,14.928734271,382149.0
01089,2022,116.0,28.743820698,False,2.1,11.3,80426.0,7.955146405705285,64.0,15.858659696,389781.0
01089,2023,110.0,26.660203587,False,2.0,10.5,86172.0,7.955146405705285,68.0,16.480853127,389781.0
01091,2018,0.0,,True,4.9,24.0,37733.0,-3.474622521375295,,,19538.0
01091,2019,0.0,,True,3.7,24.8,38838.0,-3.474622521375295,,,19321.0
01091,2020,0.0,,True,6.8,18.3,43198.0,-1.3302752293577953,,,19138.0
01091,2021,0.0,,True,4.2,24.6,42048.0,-1.3302752293577953,,,19397.0
01091,2022,0.0,,True,3.3,19.5,45587.0,-1.3302752293577953,,,19180.0
01091,2023,0.0,,True,3.3,23.5,47228.0,-1.3302752293577953,,,19180.0
01093,2018,0.0,,False,4.1,20.2,37887.0,75.80098582871227,,,29965.0
01093,2019,0.0,,True,3.7,16.9,44675.0,75.80098582871227,,,29866.0
01093,2020,0.0,,True,5.5,16.8,44333.0,77.80111537625841,,,29818.0
01093,2021,0.0,,True,2.8,18.3,44636.0,77.80111537625841,,,29392.0
01093,2022,0.0,,True,2.4,17.6,47742.0,77.80111537625841,,,29203.0
01093,2023,0.0,,True,2.9,19.0,48829.0,77.80111537625841,,,29203.0
01095,2018,15.0,,False,3.4,18.3,46233.0,68.85264469362329,17.0,,95145.0
01095,2019,22.0,22.7333788,False,2.6,15.7,48913.0,68.85264469362329,11.0,,95643.0
01095,2020,19.0,,False,4.6,15.4,51417.0,68.71264657672425,23.0,23.713784926,96137.0
01095,2021,35.0,35.631388199,False,2.4,15.6,50858.0,68.71264657672425,13.0,,97179.0
01095,2022,32.0,32.185711556,False,2.0,16.5,53388.0,68.71264657672425,21.0,21.121873208,97923.0
01095,2023,28.0,27.789908293,False,2.1,16.5,59882.0,68.71264657672425,18.0,,97923.0
01097,2018,60.0,14.501265235,False,4.7,20.8,43598.0,13.274515593069232,62.0,14.984640743,414659.0
01097,2019,51.0,12.342392488,False,3.9,17.7,49492.0,13.274515593069232,64.0,15.488492534,414114.0
01097,2020,93.0,22.533655104,False,8.5,17.6,50871.0,11.88497739730515,56.0,13.568652536,413977.0
01097,2021,124.0,30.01890707,False,4.6,18.2,49848.0,11.88497739730515,57.0,13.799013734,414620.0
01097,2022,119.0,28.924846443,False,3.2,19.2,54315.0,11.88497739730515,75.0,18.229945237,413878.0
01097,2023,133.0,32.309785249,False,3.1,16.3,55538.0,11.88497739730515,79.0,19.191526577,413878.0
01099,2018,0.0,,True,6.1,21.9,39556.0,14.2439879271736,,,21512.0
01099,2019,0.0,,True,5.1,23.3,40005.0,14.2439879271736,0.0,,21270.0
01099,2020,0.0,,True,8.8,22.5,38812.0,15.86051743532058,,,21006.0
01099,2021,0.0,,True,5.5,22.3,40997.0,15.86051743532058,,,20115.0
01099,2022,0.0,,True,4.0,20.7,47498.0,15.86051743532058,,,19816.0
01099,2023,0.0,,True,4.3,19.1,49314.0,15.86051743532058,,,19816.0
01101,2018,19.0,,False,4.0,20.1,49640.0,-25.984063080164375,24.0,10.630617063,226941.0
01101,2019,14.0,,False,3.3,15.8,52711.0,-25.984063080164375,26.0,11.479738262,226941.0
01101,2020,32.0,14.245077658,False,8.4,20.4,49607.0,-31.489121334691696,22.0,9.79349089,226451.0
01101,2021,39.0,17.147831899,False,4.7,21.7,50645.0,-31.489121334691696,26.0,11.431887932,229072.0
01101,2022,40.0,17.670888537,False,3.0,18.4,56862.0,-31.489121334691696,28.0,12.369621975,228132.0
01101,2023,36.0,16.001422349,False,2.8,18.3,60063.0,-31.489121334691696,35.0,15.556938394,228132.0
01103,2018,22.0,18.473578584,False,3.5,13.2,52797.0,51.79685648842903,28.0,23.511827289,119122.0
01103,2019,14.0,,False,2.7,13.7,54355.0,51.79685648842903,28.0,23.395917412,119213.0
01103,2020,27.0,22.52195891,False,4.9,14.4,55688.0,49.19772160381223,22.0,18.351225779,119352.0
